mot,définition(s) belge(s),origine_wallonne,existe_sens_standard
calepin,"En Belgique, un calepin désigne un cartable ou un sac d'écolier, un sens spécifique qui s'écarte de la définition française",non,oui
caliche,Réglisse (la confiserie).,non,oui
calotte,Bonnet traditionnel des étudiants des universités catholiques par opposition avec la penne des étudiants des institutions non confessionnelles.,non,oui
campénaire,Nom qui fut donné aux colporteurs de la région de Stambruges.,non,non
canard,Petit bisou sur les lèvres.,non,oui
candidat,Grade attribué à la fin du premier cycle d’un cursus d’enseignement supérieur long.,non,oui
candidature,Premier grade universitaire qui s'effectue en deux ou trois ans.,non,oui
cannasser,"belgicisme verbal peu courant qui signifie verrouiller, cadenasser ou, par extension, dissimuler une information pour empêcher sa divulgation",non,non
cannibale,Toast nappé de filet américain (nom belge du steak tartare).,non,oui
carabibi,Petits caramels spécifiques à la ville de Soignies en Belgique et distribués à la foule lors de la fête traditionnelle de la Simpélourd.,non,non
carabistouille,"Blague, galéjade. | Mensonges, tromperie.",non,non
carabouilla,Bonbon à la réglisse et à l’anis de couleur noire.,non,non
caraboutcha,Gribouillis.,non,non
carabouya,Bonbon à la réglisse et à l’anis de couleur noire.,non,non
carnavaleuse,(Dunkerquois) Participante à un carnaval.,non,non
carnavaleux,Participant à un carnaval.,non,non
carnet,Livret d’épargne.,non,oui
carrousel,Manège de chevaux de bois.,non,oui
cartache,Grosse bille de verre ou de terre. | Œil au beurre noir.,non,oui
carte-vue,Carte postale illustrée sur un des côtés (l’autre côté étant réservé à l’adresse et au texte).,non,non
casco,Brut de finition.,non,oui
casserole,"Ustensile de cuisine de forme cylindrique, à deux poignées et fourni avec un couvercle. Le mot s’oppose à poêlon qui désigne les ustensiles pourvus de manches.",non,oui
cassette,Plumier d’écolier. | Insert à bois.,non,oui
cassonade,Sucre brun non-raffiné provenant généralement du sirop résiduel de la cristallisation du sucre ou sucre brun résultant d’un ajout de sirop de raffineur (sorte de mélasse) à du sucre blanc.,non,oui
